#AREA IS IN M2;;;;;;
plant_id;n_seed_trap;area_seed_trap;plant_area;date_seed_trap_install;day_finalcrop;days_working
301;1;0.22;17.99;19/11/18;22/2/19;95
302;1;0.22;33.4;19/11/18;22/2/19;95
303;1;0.22;61.57;19/11/18;22/2/19;95
304;2;0.44;27.3;19/11/18;22/2/19;95
305;1;0.22;14.43;19/11/18;22/2/19;95
306;1;0.22;62.26;19/11/18;12/3/19;113
307;1;0.22;31.26;19/11/18;12/3/19;113
308;1;0.22;27.87;19/11/18;12/3/19;113
309;1;0.22;12.18;19/11/18;22/2/19;95
310;1;0.22;18.91;19/11/18;12/3/19;113
311;1;0.22;17;19/11/18;12/3/19;113
312;1;0.22;9.6;19/11/18;12/3/19;113
313;1;0.22;12.82;19/11/18;12/3/19;113
314;2;0.44;66.2;19/11/18;12/3/19;113
315;1;0.22;55.69;19/11/18;12/3/19;113
316;1;0.22;27.42;19/11/18;22/2/19;95
317;1;0.22;20.19;19/11/18;12/3/19;113
318;1;0.22;26.6;19/11/18;12/3/19;113
319;1;0.22;15.68;19/11/18;12/3/19;113
320;2;0.44;26.28;20/11/18;22/2/19;94
321;1;0.22;53.52;20/11/18;12/3/19;112
322;1;0.22;16.84;20/11/18;12/3/19;112
323;1;0.22;12.51;20/11/18;12/3/19;112
324;1;0.22;27.48;20/11/18;22/2/19;94
325;1;0.22;12.93;20/11/18;22/2/19;94
326;1;0.22;23.57;20/11/18;22/2/19;94
327;1;0.22;39.04;20/11/18;22/2/19;94
328;1;0.22;21.3;20/11/18;22/2/19;94
329;1;0.22;21.55;20/11/18;22/2/19;94
330;1;0.22;12.71;20/11/18;22/2/19;94
331;1;0.22;12.89;20/11/18;22/2/19;94
332;1;0.22;43.84;20/11/18;22/2/19;94
333;1;0.22;52.76;20/11/18;22/2/19;94
334;2;0.44;17.24;21/11/18;12/3/19;111
335;1;0.22;29.54;21/11/18;12/3/19;111
336;1;0.22;29.7;21/11/18;22/2/19;93
337;1;0.22;26.93;21/11/18;22/2/19;93
338;2;0.44;42.12;29/11/18;12/3/19;103
339;1;0.22;23.74;29/11/18;12/3/19;103
340;1;0.22;32.54;29/11/18;12/3/19;103